"City","State","year","month","temp"
"Manteo","NC","1991","10",17.7569999694824
"Topeka","KS","1991","10",15.0330009460449
"Ann Arbor","MI","1991","10",12.5030002593994
"New York","NY","1991","10",14.1160011291504
"San Diego","CA","1991","10",21.2960014343262
"Flagstaff","AZ","1991","10",9.36600017547607
"Ajo ","AZ","1991","10",25.8520011901855
"Portland","OR","1991","10",13.9270009994507
"Raleigh","NC","1991","11",9.32300090789795
"Highlands","NC","1991","11",4.38300037384033
"Manteo","NC","1991","11",13.0410003662109
"Topeka","KS","1991","11",3.07200002670288
"Ann Arbor","MI","1991","11",2.51200008392334
"New York","NY","1991","11",8.1540002822876
"San Diego","CA","1991","11",17.443000793457
"Flagstaff","AZ","1991","11",1.51400005817413
"Ajo ","AZ","1991","11",17.3940010070801
"Portland","OR","1991","11",8.80100059509277
"Raleigh","NC","1991","12",8.05000019073486
"Highlands","NC","1991","12",3.69800019264221
"Manteo","NC","1991","12",10.19700050354
"Topeka","KS","1991","12",2.71200013160706
"Ann Arbor","MI","1991","12",-0.513000011444092
"New York","NY","1991","12",3.96800017356873
"San Diego","CA","1991","12",14.0430002212524
"Flagstaff","AZ","1991","12",-1.68100011348724
"Ajo ","AZ","1991","12",13.2660007476807
"Portland","OR","1991","12",5.82000017166138
"Raleigh","NC","2001","01",4.57200002670288
"Highlands","NC","2001","01",-0.0180000010877848
"Manteo","NC","2001","01",5.72800016403198
"Topeka","KS","2001","01",-1.682000041008
"Ann Arbor","MI","2001","01",-3.76100015640259
"New York","NY","2001","01",-0.398000031709671
"San Diego","CA","2001","01",12.0460004806519
"Flagstaff","AZ","2001","01",-3.29700016975403
"Ajo ","AZ","2001","01",10.8800001144409
"Portland","OR","2001","01",5.62900018692017
"Raleigh","NC","2001","02",8.35599994659424
"Highlands","NC","2001","02",5.30500030517578
"Manteo","NC","2001","02",8.65100002288818
"Topeka","KS","2001","02",-0.999000072479248
"Ann Arbor","MI","2001","02",-1.85600006580353
"New York","NY","2001","02",1.93300008773804
"San Diego","CA","2001","02",12.0410003662109
"Flagstaff","AZ","2001","02",-2.2810001373291
"Ajo ","AZ","2001","02",12.9300003051758
"Portland","OR","2001","02",6.04600048065186
"Raleigh","NC","2001","03",8.86900043487549
"Highlands","NC","2001","03",4.42700004577637
"Manteo","NC","2001","03",9.04100036621094
"Topeka","KS","2001","03",4.21000003814697
"Ann Arbor","MI","2001","03",0.675000011920929
"New York","NY","2001","03",3.89300012588501
"San Diego","CA","2001","03",14.07200050354
"Flagstaff","AZ","2001","03",2.64800024032593
"Ajo ","AZ","2001","03",17.4640007019043
"Portland","OR","2001","03",8.96100044250488
"Raleigh","NC","2001","04",16.1710014343262
"Highlands","NC","2001","04",11.9040002822876
"Manteo","NC","2001","04",15.1110010147095
"Topeka","KS","2001","04",15.4750003814697
"Ann Arbor","MI","2001","04",9.59700012207031
"New York","NY","2001","04",11.4990005493164
"San Diego","CA","2001","04",14.03600025177
"Flagstaff","AZ","2001","04",5.41700029373169
"Ajo ","AZ","2001","04",20.6750011444092
"Portland","OR","2001","04",9.84000015258789
"Raleigh","NC","2001","05",19.867000579834
"Highlands","NC","2001","05",14.952000617981
"Manteo","NC","2001","05",19.4380016326904
"Topeka","KS","2001","05",20.0160007476807
"Ann Arbor","MI","2001","05",15.8070011138916
"New York","NY","2001","05",17.4400005340576
"San Diego","CA","2001","05",17.5500011444092
"Flagstaff","AZ","2001","05",11.8930006027222
"Ajo ","AZ","2001","05",28.003002166748
"Portland","OR","2001","05",14.782000541687
"Raleigh","NC","2001","06",24.4090003967285
"Highlands","NC","2001","06",17.9200000762939
"Manteo","NC","2001","06",24.4490013122559
"Topeka","KS","2001","06",22.689001083374
"Ann Arbor","MI","2001","06",19.6380004882812
"New York","NY","2001","06",22.621000289917
"San Diego","CA","2001","06",19.439001083374
"Flagstaff","AZ","2001","06",16.363000869751
"Ajo ","AZ","2001","06",32.1260032653809
"Portland","OR","2001","06",16.0069999694824
"Raleigh","NC","2001","07",24.5310020446777
"Highlands","NC","2001","07",19.6440010070801
"Manteo","NC","2001","07",25.6640014648438
"Topeka","KS","2001","07",28.1000003814697
"Ann Arbor","MI","2001","07",22.1190013885498
"New York","NY","2001","07",23.0240001678467
"San Diego","CA","2001","07",20.3920001983643
"Flagstaff","AZ","2001","07",17.4000015258789
"Ajo ","AZ","2001","07",32.8030014038086
"Portland","OR","2001","07",18.9420013427734
"Raleigh","NC","2001","08",25.3950004577637
"Highlands","NC","2001","08",20.3850002288818
"Manteo","NC","2001","08",25.935001373291
"Topeka","KS","2001","08",26.1610012054443
"Ann Arbor","MI","2001","08",22.2190017700195
"New York","NY","2001","08",25.5060005187988
"San Diego","CA","2001","08",21.6650009155273
"Flagstaff","AZ","2001","08",16.7730007171631
"Ajo ","AZ","2001","08",32.411003112793
"Portland","OR","2001","08",20.4740009307861
"Raleigh","NC","2001","09",20.5490016937256
"Highlands","NC","2001","09",15.3790006637573
"Manteo","NC","2001","09",22.0810012817383
"Topeka","KS","2001","09",19.2700004577637
"Ann Arbor","MI","2001","09",15.903000831604
"New York","NY","2001","09",19.7450008392334
"San Diego","CA","2001","09",20.4870014190674
"Flagstaff","AZ","2001","09",13.9710006713867
"Ajo ","AZ","2001","09",31.2090015411377
"Portland","OR","2001","09",18.306001663208
"Raleigh","NC","2001","10",15.0260009765625
"Highlands","NC","2001","10",9.90200042724609
"Manteo","NC","2001","10",17.3170013427734
"Topeka","KS","2001","10",13.4980010986328
"Ann Arbor","MI","2001","10",10.5580005645752
"New York","NY","2001","10",14.1800003051758
"San Diego","CA","2001","10",19.1460018157959
"Flagstaff","AZ","2001","10",9.14200019836426
"Ajo ","AZ","2001","10",25.4990005493164
"Portland","OR","2001","10",12.4170007705688
"Raleigh","NC","2001","11",13.0160007476807
"Highlands","NC","2001","11",8.78000068664551
"Manteo","NC","2001","11",14.7610006332397
"Topeka","KS","2001","11",10.7140007019043
"Ann Arbor","MI","2001","11",8.02099990844727
"New York","NY","2001","11",10.3600006103516
"San Diego","CA","2001","11",15.9380006790161
"Flagstaff","AZ","2001","11",2.57800006866455
"Ajo ","AZ","2001","11",19.4690017700195
"Portland","OR","2001","11",9.22500038146973
"Raleigh","NC","2001","12",9.42900085449219
"Highlands","NC","2001","12",4.21900033950806
