"City","State","year","month","temp","precip"
"Portland","OR",1981,6,16.3490009307861,101.077003479004
"Raleigh","NC",1981,7,26.2840003967285,97.9789962768555
"Highlands","NC",1981,7,20.871000289917,117.22200012207
"Manteo","NC",1981,7,26.6330013275146,146.171005249023
"Topeka","KS",1981,7,26.3530006408691,190.326995849609
"Ann Arbor","MI",1981,7,22.3770008087158,85.7429962158203
"New York","NY",1981,7,25.5810012817383,120.706001281738
"San Diego","CA",1981,7,23.4640007019043,0
"Flagstaff","AZ",1981,7,18.0690002441406,94.2160034179688
"Ajo","AZ",1981,7,32.673999786377,15.378999710083
"Portland","OR",1981,7,19.5070018768311,7.83599996566772
"Raleigh","NC",1981,8,23.5930004119873,144.404006958008
"Highlands","NC",1981,8,18.859001159668,40.8650016784668
"Manteo","NC",1981,8,24.6950016021729,275.003997802734
"Topeka","KS",1981,8,23.068000793457,89.3430023193359
"Ann Arbor","MI",1981,8,21.1040000915527,92.0250015258789
"New York","NY",1981,8,23.8990020751953,24.6319999694824
"San Diego","CA",1981,8,23.8940010070801,0
"Flagstaff","AZ",1981,8,17.3159999847412,104.23999786377
"Ajo","AZ",1981,8,32.7130012512207,57.2779998779297
"Portland","OR",1981,8,22.0200004577637,1.192999958992
"Raleigh","NC",1981,9,20.5880012512207,61.3139991760254
"Highlands","NC",1981,9,15.9310007095337,148.712005615234
"Manteo","NC",1981,9,22.5110015869141,54.0429992675781
"Topeka","KS",1981,9,20.0110015869141,80.2829971313477
"Ann Arbor","MI",1981,9,16.3299999237061,145.557998657227
"New York","NY",1981,9,19.2400016784668,94.9000015258789
"San Diego","CA",1981,9,22.3400001525879,0
"Flagstaff","AZ",1981,9,14.0190010070801,91.7850036621094
"Ajo","AZ",1981,9,30.1860008239746,19.9969997406006
"Portland","OR",1981,9,17.9080009460449,70.7620010375977
"Raleigh","NC",1981,10,14.4690008163452,94.2620010375977
"Highlands","NC",1981,10,10.7210006713867,136.591995239258
"Manteo","NC",1981,10,16.730001449585,46.8429985046387
"Topeka","KS",1981,10,13.4200010299683,74.7770004272461
"Ann Arbor","MI",1981,10,8.3700008392334,99.265998840332
"New York","NY",1981,10,11.6830005645752,100.962997436523
"San Diego","CA",1981,10,18.4370002746582,8.125
"Flagstaff","AZ",1981,10,7.28400039672852,48.984001159668
"Ajo","AZ",1981,10,21.3440017700195,11.5959997177124
"Portland","OR",1981,10,11.9090003967285,116.883003234863
"Raleigh","NC",1981,11,10.2130002975464,23.0779991149902
"Highlands","NC",1981,11,6.18900012969971,77.411003112793
"Manteo","NC",1981,11,11.6510009765625,46.701000213623
"Topeka","KS",1981,11,8.35500049591064,101.666000366211
"Ann Arbor","MI",1981,11,5.06700038909912,41.9300003051758
"New York","NY",1981,11,7.86500024795532,41.9819984436035
