"City","State","year","month","precip"
"Portland","OR","2001","04",69.6399993896484
"Raleigh","NC","2001","05",76.2030029296875
"Highlands","NC","2001","05",150.147994995117
"Manteo","NC","2001","05",44.5559997558594
"Topeka","KS","2001","05",102.294998168945
"Ann Arbor","MI","2001","05",119.49299621582
"New York","NY","2001","05",60.6889991760254
"San Diego","CA","2001","05",0.785000026226044
"Flagstaff","AZ","2001","05",15.6789999008179
"Ajo ","AZ","2001","05",0.717999994754791
"Portland","OR","2001","05",41.7859992980957
"Raleigh","NC","2001","06",205.639999389648
"Highlands","NC","2001","06",159.561004638672
"Manteo","NC","2001","06",162.658004760742
"Topeka","KS","2001","06",187.921005249023
"Ann Arbor","MI","2001","06",101.585998535156
"New York","NY","2001","06",150.410003662109
"San Diego","CA","2001","06",0
"Flagstaff","AZ","2001","06",7.2020001411438
"Ajo ","AZ","2001","06",0
"Portland","OR","2001","06",39.7050018310547
"Raleigh","NC","2001","07",172.541000366211
"Highlands","NC","2001","07",179.703002929688
"Manteo","NC","2001","07",68.0260009765625
"Topeka","KS","2001","07",90.4769973754883
"Ann Arbor","MI","2001","07",34.5820007324219
"New York","NY","2001","07",53.3390007019043
"San Diego","CA","2001","07",0
"Flagstaff","AZ","2001","07",35.2490005493164
"Ajo ","AZ","2001","07",20.7360000610352
"Portland","OR","2001","07",12.4650001525879
"Raleigh","NC","2001","08",112.028999328613
"Highlands","NC","2001","08",107.305000305176
"Manteo","NC","2001","08",104.737998962402
"Topeka","KS","2001","08",126.38200378418
"Ann Arbor","MI","2001","08",75.3600006103516
"New York","NY","2001","08",95.2770004272461
"San Diego","CA","2001","08",0
"Flagstaff","AZ","2001","08",97.0940017700195
"Ajo ","AZ","2001","08",40.1049995422363
"Portland","OR","2001","08",23.0139999389648
"Raleigh","NC","2001","09",49.6339988708496
"Highlands","NC","2001","09",176.160003662109
"Manteo","NC","2001","09",33.8489990234375
"Topeka","KS","2001","09",163.300994873047
"Ann Arbor","MI","2001","09",104.932998657227
"New York","NY","2001","09",110.151000976562
"San Diego","CA","2001","09",0
"Flagstaff","AZ","2001","09",8.38700008392334
"Ajo ","AZ","2001","09",0
"Portland","OR","2001","09",17.5359992980957
"Raleigh","NC","2001","10",47.9959983825684
"Highlands","NC","2001","10",114.59700012207
"Manteo","NC","2001","10",24.2530002593994
"Topeka","KS","2001","10",58.4869995117188
"Ann Arbor","MI","2001","10",192.130996704102
"New York","NY","2001","10",21.7019996643066
"San Diego","CA","2001","10",0
"Flagstaff","AZ","2001","10",31.423999786377
"Ajo ","AZ","2001","10",2.1710000038147
"Portland","OR","2001","10",104.875999450684
"Raleigh","NC","2001","11",25.5629997253418
"Highlands","NC","2001","11",109.169998168945
"Manteo","NC","2001","11",36.4500007629395
"Topeka","KS","2001","11",15.8669996261597
"Ann Arbor","MI","2001","11",54.0470008850098
"New York","NY","2001","11",24.5580005645752
"San Diego","CA","2001","11",21.8040008544922
"Flagstaff","AZ","2001","11",12.1829996109009
